Date,Open,High,Low,Close,Volume,EF_1,EF_2,Oil FutureTrend,Gold FutureTrend,Trend,Twitter Sentiments,FutureTrend
02/07/2018,22.54000092,22.86000061,22.37999916,22.86000061,5855900,1,1.419696903,Positive,Negative,Positive,0,Positive
03/07/2018,22.92000008,22.93000031,22.54999924,22.59000015,3619200,0.105265271,-1.439790238,Neutral,Neutral,Negative,0,Negative
05/07/2018,22.81999969,22.98999977,22.45000076,22.75,7158600,0.555555163,-0.306747133,Negative,Positive,Negative,0,Negative
06/07/2018,22.78000069,23.21999931,22.60000038,23.01000023,5375100,0.661291216,1.009655554,Negative,Negative,Positive,0,Negative
09/07/2018,23.13999939,23.44000053,23.01000023,23.37000084,7057100,0.837210128,0.993956161,Negative,Positive,Positive,0,Negative
10/07/2018,23.36000061,23.96999931,23.36000061,23.87000084,10481600,0.836067727,2.183220101,Positive,Positive,Positive,0,Positive
11/07/2018,23.64999962,23.70999908,23.04999924,23.05999947,6833500,0.015151865,-2.494715273,Positive,Negative,Negative,0,Negative
12/07/2018,23.28000069,23.62000084,23.21999931,23.53000069,6345400,0.775000477,1.07388313,Negative,Positive,Positive,0,Negative
13/07/2018,23.30999947,23.77000046,23.29999924,23.70999908,5150200,0.872337835,1.716000119,Positive,Positive,Positive,0,Positive
16/07/2018,23.69000053,23.73999977,23.51000023,23.56999969,3791500,0.260867762,-0.506546376,Negative,Positive,Negative,0,Negative
17/07/2018,23.37999916,23.71999931,23.37999916,23.59000015,4094700,0.617649699,0.898207867,Negative,Negative,Positive,0,Positive
18/07/2018,23.60000038,23.68000031,23.31999969,23.53000069,6467400,0.583335099,-0.296608872,Negative,Positive,Negative,0,Positive
19/07/2018,23.39999962,23.53000069,23.17000008,23.19000053,6056000,0.055556733,-0.897432,Negative,Negative,Negative,0,Positive
20/07/2018,23.19000053,23.20000076,22.88999939,22.94000053,6919000,0.1612933,-1.078050859,Positive,Positive,Negative,0,Negative
23/07/2018,22.87000084,23.14999962,22.65999985,23.04000092,5596300,0.775512746,0.743332182,Negative,Positive,Positive,0,Positive
24/07/2018,23.25,23.45000076,22.89999962,22.98999977,7192200,0.163636301,-1.118280554,Negative,Negative,Negative,0,Negative
25/07/2018,22.90999985,23.30999947,22.90999985,23.29000092,5854100,0.950003576,1.658669012,Negative,Positive,Positive,0,Negative
26/07/2018,23.21999931,23.64999962,23.21999931,23.45000076,6452300,0.534886712,0.990531681,Positive,Positive,Positive,0,Positive
27/07/2018,23.45000076,23.54999924,23.11000061,23.22999954,4729700,0.272725696,-0.938171486,Negative,Positive,Negative,0,Positive
30/07/2018,23.25,23.38999939,22.96999931,23.10000038,4268300,0.309526296,-0.64515965,Positive,Negative,Negative,0,Positive
31/07/2018,23.12000084,23.21999931,23.04999924,23.07999992,6092600,0.176474548,-0.173014334,Positive,Positive,Negative,0,Positive
01/08/2018,23.13999939,23.29999924,22.95999908,23.01000023,4344500,0.147062123,-0.561794141,Negative,Positive,Negative,0,Negative
02/08/2018,22.88999939,23.26000023,22.88999939,23.20999908,5254300,0.864862078,1.397989093,Positive,Negative,Positive,0,Negative
03/08/2018,23.26000023,23.48999977,23.21999931,23.34000015,5092800,0.444446799,0.34393776,Negative,Positive,Positive,0,Negative
06/08/2018,23.28000069,23.82999992,23.28000069,23.73999977,5649700,0.836363132,1.975941026,Negative,Negative,Positive,0,Negative
07/08/2018,23.82999992,24.07999992,23.79999924,23.98999977,6311700,0.678571672,0.671421938,Positive,Negative,Positive,0,Negative
08/08/2018,23.97999954,24.25,23.93000031,24.13999939,5567800,0.656247765,0.667222062,Positive,Positive,Positive,0,Positive
09/08/2018,24.12999916,24.31999969,24.04999924,24.07999992,4837000,0.111113466,-0.207207786,Negative,Positive,Negative,0,Positive
10/08/2018,23.90999985,24.09000015,23.90999985,23.98999977,5335900,0.444443267,0.334587722,Positive,Positive,Positive,0,Positive
13/08/2018,24.04999924,24.15999985,23.79000092,23.79999924,4631500,0.027022569,-1.039501072,Positive,Negative,Negative,0,Negative
14/08/2018,23.93000031,24.25,23.93000031,24.14999962,5071400,0.68749851,0.919345218,Positive,Positive,Positive,0,Positive
15/08/2018,23.90999985,24.09000015,23.87999916,24.03000069,6318700,0.714289607,0.501885571,Negative,Positive,Positive,0,Negative
16/08/2018,24.18000031,24.29000092,24.05999947,24.13999939,6125700,0.347823563,-0.165429756,Negative,Negative,Negative,0,Negative
17/08/2018,24.07999992,24.62000084,24.06999969,24.54000092,7524400,0.854545896,1.910303128,Negative,Negative,Positive,0,Neutral
20/08/2018,24.54000092,24.79999924,24.45000076,24.54000092,6085600,0.257144414,0,Negative,Negative,Neutral,0,Positive
21/08/2018,24.60000038,24.72999954,24.35000038,24.48999977,8179200,0.36842026,-0.447156946,Negative,Negative,Negative,0,Neutral
22/08/2018,24.45999908,24.62999916,24.25,24.48999977,5273800,0.63157974,0.122652035,Positive,Positive,Positive,0,Negative
23/08/2018,24.5,24.70999908,24.47999954,24.62999916,8162100,0.652173552,0.530608819,Negative,Negative,Positive,0,Positive
