Date,Open,High,Low,Close,Volume,EF_1,EF_2,Oil FutureTrend,Gold FutureTrend,Trend,Twitter Sentiments,FutureTrend
02/07/2018,138.2799988,140.2200012,138.1999969,139.8600006,3405400,0.821782253,1.142610533,Positive,Negative,Positive,574,Positive
03/07/2018,140.6499939,140.9400024,139.3699951,139.5700073,1963200,0.127395716,-0.767853977,Neutral,Neutral,Negative,720,Negative
05/07/2018,140.4799957,141.4299927,139.9299927,141.4299927,3744700,1,0.676250696,Negative,Positive,Positive,906,Negative
06/07/2018,141.5299988,142.9400024,141.1699982,142.4799957,2849000,0.740109829,0.67123363,Negative,Negative,Positive,837,Negative
09/07/2018,142.5899963,144.7200012,142.4700012,144.3899994,3904700,0.85333252,1.262362787,Negative,Positive,Positive,714,Negative
10/07/2018,144.5099945,145.5899963,144.2599945,144.7100067,3777000,0.338354577,0.138407179,Positive,Positive,Positive,805,Negative
11/07/2018,144,146.1900024,144,144.9400024,3526600,0.429224381,0.652779473,Positive,Negative,Positive,726,Negative
12/07/2018,145.8500061,146.8300018,145.7400055,146.4499969,3119500,0.651370496,0.411375262,Negative,Positive,Positive,913,Positive
13/07/2018,146.4499969,146.9799957,145.8000031,145.8999939,3062600,0.08473853,-0.375556889,Positive,Positive,Negative,859,Positive
16/07/2018,145.6699982,145.7899933,144.2100067,145.4600067,3468800,0.791145964,-0.144155597,Negative,Positive,Negative,605,Positive
17/07/2018,144.75,145,143.3399963,143.4900055,5096700,0.090366762,-0.870462526,Negative,Negative,Negative,1599,Negative
18/07/2018,143.5099945,144.8000031,142.7400055,144.5200043,6935300,0.864078101,0.70379054,Negative,Positive,Positive,2049,Negative
19/07/2018,147.8500061,150.5399933,147.25,149.2400055,14655800,0.604866126,0.940141584,Negative,Negative,Positive,1491,Positive
20/07/2018,148.5800018,148.8600006,146.2599945,146.3500061,6414600,0.034619764,-1.500872055,Positive,Positive,Negative,804,Positive
23/07/2018,146.3500061,146.6999969,145.0099945,145.6999969,3897900,0.408284878,-0.444146996,Negative,Positive,Negative,506,Negative
