Date,Open,High,Low,Close,Volume,EF_1,EF_2,Oil FutureTrend,Gold FutureTrend,Trend,Twitter Sentiments,FutureTrend
02/07/2018,4454,4454,4375,4389,702227,0.17721519,-1.459362371,Positive,Negative,Negative,0,Negative
03/07/2018,4402,4457,4395,4436,562783,0.661290323,0.772376193,Neutral,Neutral,Positive,0,Negative
04/07/2018,4419,4488,4402,4478,264953,0.88372093,1.335143698,Neutral,Neutral,Positive,0,Positive
05/07/2018,4485,4494,4456,4459,888962,0.078947368,-0.579710145,Negative,Positive,Negative,0,Negative
06/07/2018,4479,4503,4446,4497,714220,0.894736842,0.401875419,Negative,Negative,Positive,0,Negative
09/07/2018,4504,4522,4488,4500,888532,0.352941176,-0.088809947,Negative,Positive,Negative,0,Neutral
10/07/2018,4500,4522,4479,4500,959769,0.488372093,0,Positive,Positive,Neutral,0,Positive
11/07/2018,4470,4496,4463,4494,604661,0.939393939,0.536912752,Positive,Negative,Positive,0,Negative
12/07/2018,4513,4531,4493,4515,852987,0.578947368,0.044316419,Negative,Positive,Positive,0,Negative
13/07/2018,4539,4580,4520,4520,538587,0,-0.418594404,Positive,Positive,Negative,0,Positive
16/07/2018,4516,4531,4468,4488.700195,475379,0.328574529,-0.604512947,Negative,Positive,Negative,0,Negative
17/07/2018,4483,4516,4470,4500,525162,0.652173913,0.37921035,Negative,Negative,Positive,0,Negative
18/07/2018,4502,4562,4498,4548,874221,0.78125,1.021768103,Negative,Positive,Positive,0,Negative
19/07/2018,4553,4607,4544,4568,1205416,0.380952381,0.329453108,Negative,Negative,Positive,0,Positive
20/07/2018,4570,4587,4540,4541,416882,0.021276596,-0.634573304,Positive,Positive,Negative,0,Positive
23/07/2018,4536,4550,4511,4536,399276,0.641025641,0,Negative,Positive,Neutral,0,Negative
24/07/2018,4545,4600,4538,4550,4037583,0.193548387,0.110011001,Negative,Negative,Positive,0,Negative
25/07/2018,4556,4589,4550,4556,743070,0.153846154,0,Negative,Positive,Neutral,0,Positive
26/07/2018,4560,4560,4517,4521,707847,0.093023256,-0.855263158,Positive,Positive,Negative,0,Positive
27/07/2018,4527,4533,4488,4492,528084,0.088888889,-0.773138944,Negative,Positive,Negative,0,Positive
30/07/2018,4466,4489,4404,4406,695295,0.023529412,-1.343484102,Positive,Negative,Negative,0,Positive
31/07/2018,4422,4432,4390,4397,933622,0.166666667,-0.565355043,Positive,Positive,Negative,0,Positive
01/08/2018,4400,4404,4348,4357,901575,0.160714286,-0.977272727,Negative,Positive,Negative,0,Negative
02/08/2018,4450,4520,4413,4497,3658748,0.785046729,1.056179775,Positive,Negative,Positive,0,Positive
03/08/2018,4531,4531,4477,4489,1731808,0.222222222,-0.926947694,Negative,Positive,Negative,0,Positive
06/08/2018,4503,4503,4428,4468,1070049,0.533333333,-0.777259605,Negative,Negative,Negative,0,Negative
07/08/2018,4485,4550,4474,4539,1829896,0.855263158,1.204013378,Positive,Negative,Positive,0,Positive
08/08/2018,4527,4539,4503,4510,920897,0.194444444,-0.37552463,Positive,Positive,Negative,0,Positive
09/08/2018,4510,4512,4483,4502,574938,0.655172414,-0.177383592,Negative,Positive,Negative,0,Positive
10/08/2018,4489,4498,4475,4481,538690,0.260869565,-0.178213411,Positive,Positive,Negative,0,Negative
13/08/2018,4469,4499,4445,4490,654089,0.833333333,0.469903782,Positive,Negative,Positive,0,Positive
14/08/2018,4510,4510,4437,4438,439811,0.01369863,-1.596452328,Positive,Positive,Negative,0,Positive
15/08/2018,4453,4459,4370,4391,553730,0.235955056,-1.392319784,Negative,Positive,Negative,0,Negative
16/08/2018,4414,4419,4380,4398,397316,0.461538462,-0.362483009,Negative,Negative,Negative,0,Negative
17/08/2018,4397,4420,4373,4408,434251,0.744680851,0.250170571,Negative,Negative,Positive,0,Negative
20/08/2018,4417,4453,4404,4423,338468,0.387755102,0.135838805,Negative,Negative,Positive,0,Positive
21/08/2018,4435,4435,4395,4404,348072,0.225,-0.698985344,Negative,Negative,Negative,0,Negative
22/08/2018,4404,4457,4394,4447,782902,0.841269841,0.976385104,Positive,Positive,Positive,0,Negative
23/08/2018,4439,4515,4425,4490,1363407,0.722222222,1.148907412,Negative,Negative,Positive,0,Negative
24/08/2018,4484,4510,4475,4502,433521,0.771428571,0.401427297,Negative,Negative,Positive,0,Negative
28/08/2018,4547,4630,4536,4597,683886,0.64893617,1.099626127,Negative,Positive,Positive,0,Negative
29/08/2018,4600,4653,4598,4634,686235,0.654545455,0.739130435,Negative,Positive,Positive,0,Negative
30/08/2018,4625,4670,4618,4648,528106,0.576923077,0.497297297,Positive,Negative,Positive,0,Positive
31/08/2018,4654,4703,4624,4624,908345,0,-0.64460679,Negative,Positive,Negative,0,Negative
03/09/2018,4627,4694,4623,4670,321589,0.661971831,0.929327858,Neutral,Neutral,Positive,0,Negative
04/09/2018,4684,4715,4660,4681,1071746,0.381818182,-0.064047822,Positive,Negative,Negative,0,Positive
05/09/2018,4685,4696,4626,4662,702833,0.514285714,-0.490928495,Positive,Negative,Negative,0,Negative
06/09/2018,4659,4700,4626,4663,1313231,0.5,0.085855334,Positive,Positive,Positive,0,Positive
07/09/2018,4657,4671,4587,4644,740184,0.678571429,-0.279149667,Positive,Positive,Negative,0,Negative
10/09/2018,4663,4738,4630,4726,856204,0.888888889,1.351061548,Negative,Negative,Positive,0,Negative
11/09/2018,4724,4758,4680,4738,787382,0.743589744,0.296359018,Negative,Negative,Positive,0,Negative
12/09/2018,4753,4798,4743,4794,816618,0.927272727,0.862613086,Positive,Positive,Positive,0,Positive
13/09/2018,4791,4814,4745,4748,772072,0.043478261,-0.897516176,Negative,Positive,Negative,0,Negative
14/09/2018,4775,4790,4739,4790,624573,1,0.314136126,Positive,Negative,Positive,0,Positive
17/09/2018,4789,4810,4749,4751,973525,0.032786885,-0.79348507,Negative,Positive,Negative,0,Negative
18/09/2018,4750,4794,4719,4758,891997,0.52,0.168421053,Negative,Negative,Positive,0,Negative
19/09/2018,4753,4807,4721,4762,1844166,0.476744186,0.189354092,Positive,Negative,Positive,0,Positive
20/09/2018,4759,4775,4720,4747,11176573,0.490909091,-0.252153814,Positive,Positive,Negative,0,Negative
21/09/2018,4750,4783,4734,4770,7493442,0.734693878,0.421052632,Negative,Negative,Positive,0,Positive
24/09/2018,4754,4763,4642,4663,1276899,0.173553719,-1.914177535,Negative,Negative,Negative,0,Positive
25/09/2018,4663,4700,4577,4584,2565174,0.056910569,-1.694188291,Positive,Positive,Negative,0,Negative
26/09/2018,4578,4606,4564,4585,1253681,0.5,0.152905199,Negative,Positive,Positive,0,Negative
27/09/2018,4583,4631,4565,4600,1026004,0.53030303,0.370936068,Negative,Negative,Positive,0,Positive
