Date,Open,High,Low,Close,Volume,EF_1,EF_2,Oil FutureTrend,Gold FutureTrend,Trend,Twitter Sentiments,FutureTrend
02/07/2018,43.95999908,44.97000122,43.77000046,44.95000076,20655500,0.983332962,2.252051181,Positive,Negative,Positive,85,Positive
03/07/2018,44.99000168,44.99000168,44.52000046,44.72000122,16783300,0.425532433,-0.600134358,Neutral,Neutral,Negative,60,Negative
05/07/2018,45.15000153,45.47000122,44.99000168,45.40999985,21916200,0.87499702,0.575854513,Negative,Positive,Positive,70,Negative
06/07/2018,45.45999908,46.18999863,45.27000046,46,20764300,0.793479343,1.187859495,Negative,Negative,Positive,43,Negative
09/07/2018,46.13000107,46.79000092,46.06000137,46.72999954,25125700,0.917806286,1.300668676,Negative,Positive,Positive,62,Negative
10/07/2018,46.83000183,47.36000061,46.68000031,46.99000168,27422000,0.455884168,0.341660989,Positive,Positive,Positive,59,Negative
11/07/2018,46.81999969,47.75999832,46.70999908,47.63999939,22802600,0.88571522,1.751387655,Positive,Negative,Positive,49,Negative
12/07/2018,47.79000092,48.20000076,47.75,48.15000153,24857900,0.888890773,0.753296931,Negative,Positive,Positive,81,Negative
13/07/2018,47.97000122,48.81000137,47.83000183,48.63000107,25771400,0.816326133,1.375859559,Positive,Positive,Positive,82,Positive
16/07/2018,48.61999893,48.61999893,47.95000076,48.45999908,22949600,0.761193605,-0.329082375,Negative,Positive,Negative,83,Negative
17/07/2018,48.29000092,48.99000168,48.15000153,48.90000153,18823100,0.892856981,1.263202731,Negative,Negative,Positive,60,Positive
18/07/2018,48.79000092,49,48.40000153,48.63999939,19234700,0.399997457,-0.307443171,Negative,Positive,Negative,24,Positive
19/07/2018,48.40000153,48.72000122,48.20999908,48.43999863,16656500,0.450977606,0.082638635,Negative,Negative,Positive,39,Negative
20/07/2018,48.49000168,48.70999908,48.36000061,48.52000046,17232900,0.457144414,0.061865907,Positive,Positive,Positive,34,Negative
23/07/2018,48.61999893,48.66999817,48.04999924,48.66999817,17990200,1,0.102836771,Negative,Positive,Positive,18,Neutral
24/07/2018,48.75,49.09999847,48.56000137,48.66999817,19885500,0.203698863,-0.16410632,Negative,Negative,Negative,53,Negative
25/07/2018,48.52000046,48.97000122,48.5,48.95000076,16354900,0.957445945,0.886233102,Negative,Positive,Positive,31,Positive
26/07/2018,48.84999847,49.16999817,48.75999832,48.86999893,15229900,0.268294271,0.040942596,Positive,Positive,Positive,62,Positive
