Date,Open,High,Low,Close,Volume,EF_1,EF_2,Oil FutureTrend,Gold FutureTrend,Trend,Twitter Sentiments,FutureTrend
10/07/2018,1.830000043,1.830000043,1.75999999,1.75999999,252600,0,-3.825139389,Positive,Positive,Negative,42,Positive
11/07/2018,1.779999971,1.779999971,1.700000048,1.700000048,443200,0,-4.494377809,Positive,Negative,Negative,32,Negative
12/07/2018,1.75999999,1.830000043,1.710000038,1.720000029,766100,0.083333251,-2.272725118,Negative,Positive,Negative,30,Positive
13/07/2018,1.730000019,1.74000001,1.700000048,1.700000048,225500,0,-1.734102373,Positive,Positive,Negative,28,Positive
16/07/2018,1.720000029,1.720000029,1.610000014,1.610000014,301400,0,-6.395349563,Negative,Positive,Negative,23,Negative
17/07/2018,1.639999986,1.679999948,1.629999995,1.629999995,101800,0,-0.609755521,Negative,Negative,Negative,28,Negative
18/07/2018,1.629999995,1.690000057,1.610000014,1.690000057,139900,1,3.680985409,Negative,Positive,Positive,49,Negative
19/07/2018,1.679999948,1.75,1.679999948,1.700000048,160100,0.285715502,1.190482188,Negative,Negative,Positive,0,Neutral
20/07/2018,1.74000001,1.74000001,1.700000048,1.700000048,151700,0,-2.29884837,Positive,Positive,Negative,25,Positive
23/07/2018,1.700000048,1.710000038,1.649999976,1.679999948,178700,0.499999007,-1.176476446,Negative,Positive,Negative,0,Neutral
24/07/2018,1.679999948,1.75,1.639999986,1.679999948,246000,0.36363597,0,Negative,Negative,Neutral,34,Positive
25/07/2018,1.669999957,1.700000048,1.629999995,1.649999976,218200,0.285713799,-1.197603679,Negative,Positive,Negative,0,Positive
26/07/2018,1.639999986,1.649999976,1.610000014,1.639999986,185900,0.75,0,Positive,Positive,Neutral,16,Positive
27/07/2018,1.639999986,1.639999986,1.610000014,1.620000005,98000,0.333333333,-1.219511043,Negative,Positive,Negative,0,Positive
30/07/2018,1.639999986,1.639999986,1.549999952,1.559999943,337000,0.111110964,-4.87805144,Positive,Negative,Negative,10,Positive
31/07/2018,1.549999952,1.590000033,1.529999971,1.539999962,424100,0.166666336,-0.645160695,Positive,Positive,Negative,28,Positive
01/08/2018,1.519999981,1.539999962,1.50999999,1.50999999,131100,0,-0.657894118,Negative,Positive,Negative,0,Negative
02/08/2018,1.529999971,1.639999986,1.529999971,1.559999943,640700,0.272726977,1.96078248,Positive,Negative,Positive,38,Negative
03/08/2018,1.559999943,1.570000052,1.50999999,1.570000052,181200,1,0.641032695,Negative,Positive,Positive,0,Neutral
07/08/2018,1.570000052,1.580000043,1.549999952,1.570000052,149900,0.666667991,0,Positive,Negative,Neutral,31,Negative
08/08/2018,1.600000024,1.620000005,1.570000052,1.600000024,278800,0.6,0,Positive,Positive,Neutral,0,Neutral
09/08/2018,1.570000052,1.610000014,1.549999952,1.600000024,126900,0.833333664,1.910826139,Negative,Positive,Positive,0,Positive
10/08/2018,1.580000043,1.610000014,1.570000052,1.590000033,182800,0.5,0.632910772,Positive,Positive,Positive,0,Positive
13/08/2018,1.600000024,1.600000024,1.519999981,1.529999971,284300,0.124999814,-4.375003213,Positive,Negative,Negative,17,Positive
14/08/2018,1.549999952,1.549999952,1.379999995,1.419999957,1081800,0.235293953,-8.387096725,Positive,Positive,Negative,0,Negative
15/08/2018,1.440000057,1.559999943,1.370000005,1.5,432100,0.684210724,4.166662527,Negative,Positive,Positive,45,Positive
16/08/2018,1.5,1.539999962,1.460000038,1.480000019,218600,0.25,-1.333332062,Negative,Negative,Negative,13,Negative
17/08/2018,1.480000019,1.549999952,1.460000038,1.529999971,123400,0.777777778,3.378375113,Negative,Negative,Positive,0,Negative
20/08/2018,1.539999962,1.570000052,1.49000001,1.549999952,367100,0.749998882,0.649350046,Negative,Negative,Positive,0,Negative
