Date,Open,High,Low,Close,Volume,EF_1,EF_2,Oil FutureTrend,Gold FutureTrend,Trend,Twitter Sentiments,FutureTrend
02/07/2018,43.06000137,45,42.75,44.97999954,16703600,0.991110908,4.458890171,Positive,Negative,Positive,81,Positive
03/07/2018,45.36000061,45.47999954,43.79999924,43.88999939,14237500,0.05357151,-3.240743388,Neutral,Neutral,Negative,133,Negative
05/07/2018,44.06999969,45.11000061,43.54999924,45.06000137,16172000,0.967949235,2.246429964,Negative,Positive,Positive,0,Negative
06/07/2018,44.90999985,46.75,44.61000061,46.65000153,23740700,0.953271728,3.874419248,Negative,Negative,Positive,68,Positive
09/07/2018,46.74000168,46.90000153,42.08000183,44.13999939,107582400,0.427385413,-5.562691903,Negative,Positive,Negative,0,Positive
10/07/2018,44.20000076,45.25999832,43.63000107,43.75,38467400,0.073619101,-1.018101256,Positive,Positive,Negative,0,Negative
11/07/2018,42.63000107,44.09999847,42.22000122,43.86999893,35100100,0.877659639,2.908744623,Positive,Negative,Positive,0,Negative
12/07/2018,44.79999924,45.34000015,44.36000061,45.25999832,27078500,0.91836544,1.026783688,Negative,Positive,Positive,27,Positive
13/07/2018,45.27999878,45.31999969,43.93000031,44.49000168,16426700,0.402878863,-1.744693291,Positive,Positive,Negative,0,Positive
16/07/2018,44.29999924,44.72999954,43.90999985,44.25999832,13012800,0.426827566,-0.090295522,Negative,Positive,Negative,0,Negative
17/07/2018,43.59000015,45.25999832,43.15000153,44.70999908,20122300,0.739336459,2.569394191,Negative,Negative,Positive,0,Positive
18/07/2018,44.18999863,44.75,42.74000168,43.34000015,26536800,0.298506953,-1.923508714,Negative,Positive,Negative,0,Negative
19/07/2018,43.27000046,43.86999893,43.11000061,43.43999863,13366800,0.434208875,0.392877668,Negative,Negative,Positive,0,Positive
20/07/2018,43.5,44.13000107,43.22999954,43.41999817,10437700,0.211109227,-0.183912255,Positive,Positive,Negative,0,Positive
23/07/2018,43.45000076,43.84999847,42.40000153,43.31000137,15251200,0.627587423,-0.322208026,Negative,Positive,Negative,0,Positive
24/07/2018,43.77000046,43.79999924,41.59000015,42.16999817,22433900,0.26244265,-3.655476975,Negative,Negative,Negative,0,Negative
25/07/2018,42.34999847,44.38999939,42.34999847,44.22000122,25140700,0.916667602,4.41559106,Negative,Positive,Positive,0,Positive
26/07/2018,42.86999893,43.40999985,42.13999939,42.93999863,30018700,0.629920432,0.16328364,Positive,Positive,Positive,63,Positive
27/07/2018,37.25,37.47000122,33.90000153,34.11999893,122752800,0.061623929,-8.402687431,Negative,Positive,Negative,35,Positive
30/07/2018,34.16999817,34.25999832,31.06999969,31.37999916,77852400,0.097178558,-8.165054603,Positive,Negative,Negative,0,Negative
31/07/2018,31.95000076,32.47999954,31.06999969,31.87000084,64392200,0.56737676,-0.250390992,Positive,Positive,Negative,0,Negative
01/08/2018,32.25,32.59000015,31.45999908,31.90999985,33231700,0.398230387,-1.054264039,Negative,Positive,Negative,0,Negative
02/08/2018,31.57999992,32.86999893,31.34000015,32.81999969,27088000,0.967320734,3.926535067,Positive,Negative,Positive,27,Positive
03/08/2018,32.58000183,32.99000168,31.79999924,31.95999908,26317000,0.134453377,-1.903016304,Negative,Positive,Negative,49,Negative
06/08/2018,31.81999969,33.04000092,31.45000076,32.97999954,27512400,0.962263291,3.645505527,Negative,Negative,Positive,216,Positive
07/08/2018,33.09999847,33.61000061,32.54999924,32.66999817,24635600,0.113206393,-1.299094637,Positive,Negative,Negative,68,Positive
08/08/2018,32.75,32.77999878,31.80999947,31.84000015,22539400,0.030928565,-2.778625488,Positive,Positive,Negative,50,Negative
09/08/2018,31.85000038,32.38000107,31.61000061,31.95999908,17662100,0.454543203,0.34536484,Negative,Positive,Positive,0,Negative
